OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Damak Multiple Campus,"HSEB,Tribhuvan University","977-23-580132, 580528, 581232",dmcdamak@ntc.net.np,http://damakcampus.com/,"Damak,         ",Jhapa,Mechi," Damak Multiple Campus Ward No. 14, Damak Municipality, Jhapa, Nepal","Bachelor of Science (B.Sc) in Environmental Science,Bachelor of Science (B.Sc) in Physics,Master of Business Studies (MBS),Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Bachelor of Science (B.Sc) in Environmental Science,Bachelor of Science (B.Sc) in Physics,Master of Business Studies (MBS)",http://edusanjal.com/college/damak-multiple-campus,Public,,,,,
Amar Singh Model Higher Secondary School,HSEB,"977-61-520359, 531506, 532841, 524898",amarsinghhss@yahoo.com,http://www.amarsinghschool.edu.np/,"Ramghat, pokhara       ",Kaski,Gandaki,"Ramghat, pokhara  Kaski   Gandaki","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Education","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science,Ten Plus Two Education",,http://edusanjal.com/college/amar-singh-model-higher-secondary-school,Public,,,,,
International Institute of Fashion Design,,nepalcentre@nifdnepal.com,nepalcentre@nifdnepal.com,http://student.nifdnepal.com/,"Lazimpat,         ",Kathmandu,Bagmati," International Institute of Fashion Design (INIFD) The Creation Incentive Group of Companies G.P.O. Box No. 20957, Lazimpat, Kathmandu, Nepal",,,,http://edusanjal.com/college/international-institute-fashion-design,Public,,,,,
Sagarmatha Higher Secondary School,HSEB,"977-71-577134, 577152",info@sebhs.edu.np,http://www.sebhs.edu.np/,"Devdaha,         ",Rupandehi,Lumbini," Sagarmatha Higher Secondary Boarding School  Devdaha-5, Shitalnagar  Rupandehi, Nepal ","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/sagarmatha-higher-secondary-school,Public,,,,,
Sirjana Higher Secondary School,HSEB,977-61-528053,info@srijanahss.edu.np,http://www.srijanahss.edu.np/,"Prithwi Chowk, Pokhara       ",Kaski,Gandaki,"Prithwi Chowk, Pokhara  Kaski   Gandaki","Ten Plus Two Science,Ten Plus Two Management","Ten Plus Two Science,Ten Plus Two Management",,http://edusanjal.com/college/sirjana-higher-secondary-school,Public,,,,,
Global Collegiate Higher Secondary School,HSEB,"977-61-524604, 527813",golabal@globalcollegiate.edu.np,http://www.globalcollegiate.edu.np/,"Ranipauwa, Pokhara       ",Kaski,Gandaki,"Ranipauwa, Pokhara  Kaski   Gandaki","Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/global-collegiate-higher-secondary-school,Public,,,,,
Tribhuvan University Central Department of Environmental Science,Tribhuvan University,"977 -1-4332147, 4332711",info@cdes.edu.np,http://www.cdes.edu.np/,Kirtipur       ,Kathmandu,Bagmati," Central Department of Environmental Science Tribhuvan University Kirtipur, Kathmandu, Nepal",M.Sc in Environmental Science,,M.Sc in Environmental Science,http://edusanjal.com/college/tribhuvan-university-central-department-environmental-science,Public,,,,,
Silver Mountain School of Hotel Management,Queen Margaret University (UK),"977-1-4415038, 4429151",info@silvermountain.edu.np,http://www.silvermountain.edu.np/,Lainchaur       ,Kathmandu,Bagmati," Silver Mountain School of Hotel Management P.O.Box : 8856, Lainchour, Kathmandu, Nepal",BA in International Hospitality Management,,BA in International Hospitality Management,http://edusanjal.com/college/silver-mountain-school-hotel-management,Public,,,,,
LA Higher Secondary School,HSEB,"061-550168, 521249",lacollege@gmail.com,http://www.laschool.edu.np/,"Sital Marg, New Road, Pokhara       ",Kaski,Gandaki,"Sital Marg, New Road, Pokhara  Kaski   Gandaki",Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/la-higher-secondary-school,Public,,,,,
Duke College,,info@dukecollege.edu.np,info@dukecollege.edu.np,http://www.dukecollege.edu.np/,"Maharajgunj,         ",Kathmandu,Bagmati," Duke College Maharajgunj, Kathmandu, Nepal  ",,,,http://edusanjal.com/college/duke-college,Public,,,,,
Central Department of English Tribhuvan University,Tribhuvan University,01-4331851,info@cdetu.edu.np,http://cdetu.edu.np/,Kirtipur       ,Kathmandu,Bagmati," Central Department of English Tribhuvan University, Kirtipur, Kathmandu ","Master of Arts (MA) in English,M.Phil in English",,"Master of Arts (MA) in English,M.Phil in English",http://edusanjal.com/college/central-department-english-tribhuvan-university,Public,,,,,
Gyan Niketan Higher Secondary School,HSEB,977-1-4783756,gniketan@wlink.com.np,http://www.gyanniketan.edu.np/,"  Sankhamul  ,   Kathmandu     ",,," Gyan Niketan Higher Secondary School. Sankhamul, New Baneswor, Kathmandu.",,,,http://edusanjal.com/college/gyanniketan,Public,,,,,
Chahana International Higher Secondary School,HSEB,977-1-4811753,info@chahanaintl.edu.np,,"  Kapan  ,   Kathmandu     ",,,"Kapan, Kathmandu   ",,,,http://edusanjal.com/college/chahana,Public,,,,,
Kathmandu Merryland College,Tribhuvan University,"977-1-4111578,4111502",,http://www.mphs.com.np/,"Teenkune,         ",Kathmandu,Bagmati," Kathmandu Merryland College Subidhanagar, Teenkune, Kathmandu-35 (Behind Kantipur Complex) PO Box: 10473, ",Bachelor of Business Studies (BBS),,Bachelor of Business Studies (BBS),http://edusanjal.com/college/kathmandu-merryland-college,Public,,,,,
School of Allied Sciences,CTEVT,977-1-4374690,,,"  Narayangopal     Chowk  ,   Kathmandu     ",,," School of Allied Health Sciences Narayangopal Chowk, Shankha Marga, Kathmandu (Behind Police station) Near Bhatbhateni Superstore ",,,,http://edusanjal.com/college/school-of-allied-sciences,Public,,,,,
Eclipse Animation Academy,,info@eclipseani.com,info@eclipseani.com,http://www.eclipseani.com/,"Jamal,         ",Kathmandu,Bagmati," Eclipse Animation Academy Jamal, Kathmandu",,,,http://edusanjal.com/college/eclipse-animation-academy,Public,,,,,
Kantipur School of Dentistry,CTEVT,"977-1-2151490, 4385910/11",ksdktm@gmail.com,http://www.kantipurdental.edu.np/,"  Basundhara  ,   Kathmandu     ",,," Kantipur School of Dentistry Basundhara, Ringroad, Kathmandu ",Certificate in Dental Science (Dental Hygeine) ; 40;,,Certificate in Dental Science (Dental Hygeine) ; 40;,http://edusanjal.com/college/ksdh,Public,,,,,
Maya Animation Academy,,info@maya-animation.com,info@maya,http://www.maya-animation.com/,"Jamal,         ",Kathmandu,Bagmati," Maya Animation Academy Maya Bhwan, Jamal, Kantipath Kathmandu",,,,http://edusanjal.com/college/maya-animation-academy,Public,,,,,
Black Box Animation and Visual Effects Academy,,info@blackboxanimation.com,info@blackboxanimation.com,http://blackboxanimation.com/,"  Kantipath  ,   Kathmandu     ",,," Black Box Animation and VFX Academy 1st floor, Siddhi Bhawan, Kantipath                               ",,,,http://edusanjal.com/college/bbava,Public,,,,,
Infomax College of Information Technology and Management,Sikkim Manipal University,977-61-535735,mail@infomaxcollege.edu.np,http://www.infomaxcollege.edu.np/,"Ranipauwa, Pokhara       ",Kaski,Gandaki," Infomax College of Information Technology and Management Ranipauwa-Phulivari Marg-11, Pokhara Nepal",Bachelor of Science in Information Technology (B.Sc.IT),,Bachelor of Science in Information Technology (B.Sc.IT),http://edusanjal.com/college/infomax-college-information-technology-and-management,Public,,,,,
Siddhartha Vidya Sadan,HSEB,977-1-4115754,info@siddharthavs.com,http://siddharthavs.com/,"  New     Baneshwor  ,,   Kathmandu     ",,," Siddhartha VIdya Sadan +2 Sangam Chowk, New Baneshwor, Kathmandu  ",,,,http://edusanjal.com/college/siddharthavs,Public,,,,,
Madhyamanchal Regional Engineering College,CTEVT,"977-41-521991, 44-620345",mrec.jnk@gmail.com,,Dashrathnagar       ,Dhanusa,Janakpur,Dashrathnagar  Dhanusa   Janakpur,"Diploma in Computer Engineering ; 48;,Diploma in Electrical Engineering ; 48;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 40;,Diploma in Electronics Engineering ; 48;",,"Diploma in Computer Engineering ; 48;,Diploma in Electrical Engineering ; 48;,TSLC in Civil Engineering (Civil Sub-Overseer) ; 40;,TSLC in Electrical Engineering (Electrical Sub-overseer) ; 40;,Diploma in Electronics Engineering ; 48;",http://edusanjal.com/college/madhayamanchal-regional-engineering-college,Public,,,,,
Amar Jyoti Higher Secondary School Kathmandu,HSEB,01-4-27944,amarjyotiss@yahoo.com,http://www.ajhschool.edu.np/,"Syuchatar-5,         ",Kathmandu,Bagmati,"s Amar Jyoti Higher Secondary School Syuchatar-5, Kathmandu, Nepal P.O.Box No. 23523","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Ten Plus Two Science",,http://edusanjal.com/college/amar-jyoti-higher-secondary-school,Public,,,,,
Amar Higher Secondary School Pyuthan,HSEB,977-86-690036,amarhss1@gmail.com,,"Bhingri,         ",Pyuthan,Rapti," Amar Higher Secondary School/ Amar Campus Bhingri, Pyuthan","Ten Plus Two Education,Ten Plus Two Management","Ten Plus Two Education,Ten Plus Two Management",,http://edusanjal.com/college/amar-higher-secondary-school-pyuthan,Public,,,,,
Orchid College,HSEB,977-21-523439,info@orchidcollege.edu.np,http://www.orchidcollege.edu.np/,Biratnagar-14       ,Morang,Koshi," Orchid College/Orchid Public Higher Secondary School Biratnagar-14, Nepal",,,,http://edusanjal.com/college/orchid-college,Public,,,,,
St. Joseph Higher Secondary School,HSEB,977-21-536423,sjs@sjs.edu.np,http://www.sjs.edu.np/,"Biratnagar-2,         ",Morang,Koshi,"   St. Joseph's Higher Secondary School Biratnagar-2, Morang, Nepal,",,,,http://edusanjal.com/college/st-joseph-higher-secondary-school,Public,,,,,
Shikshadeep Higher Secondary School,HSEB,"977-21-440397, 535292",info@shikshadeep.edu.np,http://shikshadeep.edu.np/,Biratnagar       ,Morang,Koshi,Biratnagar  Morang   Koshi,"Ten Plus Two Science,Ten Plus Two Management","Ten Plus Two Science,Ten Plus Two Management",,http://edusanjal.com/college/shikshadeep-higher-secondary-school,Public,,,,,
Nepal Ayurved medical college,Tribhuvan University,977-51-529373,info@namc.edu.np,http://namc.edu.np/,Birgunj       ,Parsa,Narayani," Nepal Ayurved medical college Birgunj, Nepal",Bachelor of Ayurvedic Medicine and Surgery (BAMS),,Bachelor of Ayurvedic Medicine and Surgery (BAMS),http://edusanjal.com/college/nepal-ayurved-medical-college,Public,,,,,
Dharan Higher Secondary School,HSEB,"977-25-5227320, 25525441",infodhss@gmail.com,http://www.dhss.edu.np/,"Dharan,         ",Sunsari,Koshi," Dharan Higher Secondary School Laxmi Sadak, Dharan-4 Sunsari, Nepal","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Management","Ten Plus Two Science,Ten Plus Two Humanities,Ten Plus Two Management",,http://edusanjal.com/college/dharan-higher-secondary-school,Public,,,,,
Janamaitri Foundation Institute of Health Sciences,Tribhuvan University,,,,Balaju        ,Kathmandu,Bagmati,Balaju   Kathmandu   Bagmati,,,,http://edusanjal.com/college/janamaitri-foundation-institute-health-sciences,Public,,,,,
Mechi Multiple Campus,Tribhuvan University,"977-23-455044, 455135, 455615",,http://www.mechicampus.edu.np/,Bhadrapur       ,Jhapa,Mechi," Mechi Multiple Campus Hospital Mode Bhadrapur-15, Jhapa (Nepal) Bhadrapur Municipality Nepal","Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS),MA Nepali,Master of Arts (MA) in English,B.Sc in Tea Technology and Management",,"Bachelor of Business Administration (BBA) ; 64;,Master of Business Studies (MBS),MA Nepali,Master of Arts (MA) in English,B.Sc in Tea Technology and Management",http://edusanjal.com/college/mechi-multiple-campus,Public,,,,,
Manmohan Memorial Institute of Medical Sciences,,nehconepal62@gmail.com,nehconepal62@gmail.com,,Thankot/Swyambhu       ,Kathmandu,Bagmati,Thankot/Swyambhu  Kathmandu   Bagmati,,,,http://edusanjal.com/college/manmohan-memorial-institute-medical-sciences,Public,,,,,
Brihaspati School of Hospitality Management Studies,,info@bvs.edu.np,info@bvs.edu.np,,"Balmandir Naxal,         ",Kathmandu,Bagmati," Brihaspati School of Hospitality Management Studies Balmandir Compound, Naxal, Kathmandu",,,,http://edusanjal.com/college/brihaspati-school-hospitality-management-studies,Public,,,,,
Palpa College of Medical Sciences,,,,,        ,Palpa,Lumbini,Palpa  Palpa   Lumbini,,,,http://edusanjal.com/college/palpa-college-of-medical-sciences,Public,,,,,
Central Department of Management-Tribhuvan University,Tribhuvan University,977-1-4330814/4330818,dean@mgmt.wlink.com.np,http://www.fomtu.edu.np/,Kirtipur       ,Kathmandu,Bagmati," Central Department of Management, Central Campus Tribhuvan University, Kirtipur, Kathmandu","Master of Business Studies (MBS) ; 60;,M Phil in Management",,"Master of Business Studies (MBS) ; 60;,M Phil in Management",http://edusanjal.com/college/central-department-of-management-tribhuvan-university,Public,,,,,
Nepal College of Development Studies,Tribhuvan University,"977-1-2030346, 4782982",academianssw@gmail.com,http://www.nepalschoolofsocialwork.org/,"Ganeshmarg, Shankhamul,         ",Kathmandu,Bagmati,"Ganeshmarg, Shankhamul, Kathmandu  Kathmandu   Bagmati",BA Rural Development,,BA Rural Development,http://edusanjal.com/college/nepal-college-development-studies,Public,,,,,
Sukuna Multiple Campus,"HSEB,Tribhuvan University","021-545617, 021-545717",info@sukuna.edu.np,http://sukuna.edu.np/,"Indrapur,         ",Morang,Koshi," Sukuna Multiple College Indrapur, Morang","Master of Education (M.Ed) General,Bachelor of Arts-BA,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management,Master of Business Studies (MBS),B.Ed in Information Communication Technology","Ten Plus Two Humanities,Ten Plus Two Education,Ten Plus Two Management","Master of Education (M.Ed) General,Bachelor of Arts-BA,Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),Master of Business Studies (MBS),B.Ed in Information Communication Technology",http://edusanjal.com/college/sukuna-multiple-campus,Public,,,,,
National Institute of Technical Sciences,HSEB,977-1-4350270,info@nneapt.com,http://www.nneapt.edu.np/,"Banasthali Chowk, Balaju       ",Kathmandu,Bagmati," National Institute of Technical Sciences (NITS) Nepal National Education Academy (N-NEA) Banasthali Chowk, Balaju  Kathmandu, Nepal",,,,http://edusanjal.com/college/national-institute-technical-sciences,Public,,,,,
Gillette College,Tribhuvan University,,,,Kalimati         ,Kathmandu,Bagmati," Gillette College Kalimati, Kathmandu",Bachelor of Business Studies (BBS),,Bachelor of Business Studies (BBS),http://edusanjal.com/college/gillette-college,Public,,,,,
National Academy,"HSEB,Tribhuvan University","977-51524007,529492",,,"Reshamkothi, Birgunj       ",Parsa,Narayani," National Academy Reshamkothi, Birgunj",Bachelor of Business Studies (BBS),,Bachelor of Business Studies (BBS),http://edusanjal.com/college/national-academy,Public,,,,,
International School of Management and Technology,"Confederation of Tourism and Hospitality,Edexcel UK,NCC Education","977-1-4485278, 4485279",info@ismt.edu.np,http://ismt.edu.np/,"Tinkune, Gairigaun,         ",Kathmandu,Bagmati," International School of Management and Technology Tinkune, Gairigaun, Kathmandu",,,,http://edusanjal.com/college/international-school-management-and-technology,Public,,,,,
Central Department of Sociology and Anthropology,Tribhuvan University,http://cdsatu.edu.np/,,http://cdsatu.edu.np/,Kirtipur       ,Kathmandu,Bagmati,Kirtipur  Kathmandu   Bagmati,MA Sociology and Anthropology,,MA Sociology and Anthropology,http://edusanjal.com/college/central-department-sociology-and-anthropology,Public,,,,,
Lumbini Banijya Campus,"The Institute of Chartered Accountants of Nepal (ICAN),Tribhuvan University","977-71540500, 071-546245",info@lbc.edu.np,http://lbc.edu.np/,"Devinagar 13, Butwal       ",Rupandehi,Lumbini,"Devinagar 13, Butwal  Rupandehi   Lumbini","Bachelor of Business Management (BBM) ; 88;,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),CAP - I",,"Bachelor of Business Management (BBM) ; 88;,Bachelor of Business Studies (BBS),Master of Business Studies (MBS),CAP - I",http://edusanjal.com/college/lumbini-banijya-campus,Public,,,,,
Siddhartha Gautam Buddha Campus,"HSEB,Tribhuvan University","977-71-541301, 71697111",info@sgbc.edu.np,http://sgbc.edu.np/,Butwal       ,Rupandehi,Lumbini," Siddhartha Gautam Buddha Campus Butwal-7, Haatbazar Rupandehi, Lumbini, Nepal  ","Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),Master of Business Studies (MBS),M.Ed English Language Education,Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Ten Plus Two Management,Ten Plus Two Humanities,Ten Plus Two Education","Bachelor of Education (B.Ed),Bachelor of Business Studies (BBS),Master of Business Studies (MBS),M.Ed English Language Education",http://edusanjal.com/college/siddhartha-gautam-buddha-campus,Public,,,,,
